INFO 2020-07-08 03:46:35,736 basehttp 124 "GET / HTTP/1.1" 200 16348
INFO 2020-07-08 03:46:38,329 basehttp 124 "GET / HTTP/1.1" 200 16348
INFO 2020-07-08 03:46:40,269 basehttp 124 "GET / HTTP/1.1" 200 16348
INFO 2020-07-08 03:47:31,514 basehttp 124 "GET / HTTP/1.1" 200 16348
WARNING 2020-07-08 03:48:14,838 base 93 Not Found: /user/
WARNING 2020-07-08 03:48:14,839 basehttp 124 "GET /user/ HTTP/1.1" 404 1955
WARNING 2020-07-08 03:49:08,433 base 93 Not Found: /user/
WARNING 2020-07-08 03:49:08,433 basehttp 124 "GET /user/ HTTP/1.1" 404 1955
WARNING 2020-07-08 03:49:10,051 base 93 Not Found: /user/
WARNING 2020-07-08 03:49:10,051 basehttp 124 "GET /user/ HTTP/1.1" 404 1955
INFO 2020-07-08 03:49:13,777 basehttp 124 "GET / HTTP/1.1" 200 16348
INFO 2020-07-08 03:49:15,573 basehttp 124 "GET / HTTP/1.1" 200 16348
INFO 2020-07-08 06:24:21,969 basehttp 124 "GET / HTTP/1.1" 200 16348
INFO 2020-07-08 06:24:22,011 basehttp 124 "GET /static/admin/css/fonts.css HTTP/1.1" 304 0
INFO 2020-07-08 06:24:22,112 basehttp 124 "GET /static/admin/fonts/Roboto-Bold-webfont.woff HTTP/1.1" 304 0
INFO 2020-07-08 06:24:22,126 basehttp 124 "GET /static/admin/fonts/Roboto-Regular-webfont.woff HTTP/1.1" 304 0
INFO 2020-07-08 06:24:22,126 basehttp 124 "GET /static/admin/fonts/Roboto-Light-webfont.woff HTTP/1.1" 304 0
INFO 2020-07-08 06:28:41,115 basehttp 124 "GET / HTTP/1.1" 200 16348
ERROR 2020-07-08 06:28:47,402 exception 74 Invalid HTTP_HOST header: 'api.baizhishop.com:9001'. You may need to add 'api.baizhishop.com' to ALLOWED_HOSTS.
WARNING 2020-07-08 06:28:47,435 basehttp 124 "GET / HTTP/1.1" 400 60391
ERROR 2020-07-08 06:28:47,599 exception 74 Invalid HTTP_HOST header: 'api.baizhishop.com:9001'. You may need to add 'api.baizhishop.com' to ALLOWED_HOSTS.
WARNING 2020-07-08 06:28:47,623 basehttp 124 "GET /favicon.ico HTTP/1.1" 400 60440
INFO 2020-07-08 06:29:12,821 basehttp 124 "GET / HTTP/1.1" 200 16348
INFO 2020-07-08 06:29:12,839 basehttp 124 "GET /static/admin/css/fonts.css HTTP/1.1" 200 423
INFO 2020-07-08 06:29:12,865 basehttp 124 "GET /static/admin/fonts/Roboto-Bold-webfont.woff HTTP/1.1" 200 82564
INFO 2020-07-08 06:29:12,866 basehttp 124 "GET /static/admin/fonts/Roboto-Light-webfont.woff HTTP/1.1" 200 81348
INFO 2020-07-08 06:29:12,866 basehttp 124 "GET /static/admin/fonts/Roboto-Regular-webfont.woff HTTP/1.1" 200 80304
WARNING 2020-07-08 06:29:12,887 base 93 Not Found: /favicon.ico
WARNING 2020-07-08 06:29:12,887 basehttp 124 "GET /favicon.ico HTTP/1.1" 404 1982
WARNING 2020-07-08 08:08:43,085 base 93 Not Found: /
WARNING 2020-07-08 08:08:43,085 basehttp 124 "GET / HTTP/1.1" 404 2056
WARNING 2020-07-08 08:09:53,099 base 93 Not Found: /
WARNING 2020-07-08 08:09:53,100 basehttp 124 "GET / HTTP/1.1" 404 2056
WARNING 2020-07-08 08:09:53,906 base 93 Not Found: /
WARNING 2020-07-08 08:09:53,907 basehttp 124 "GET / HTTP/1.1" 404 2056
INFO 2020-07-08 08:10:00,002 basehttp 124 "GET /xadmin HTTP/1.1" 301 0
INFO 2020-07-08 08:10:00,047 basehttp 124 "GET /xadmin/ HTTP/1.1" 200 4167
INFO 2020-07-08 08:10:00,070 basehttp 124 "GET /static/xadmin/css/themes/bootstrap-xadmin.css HTTP/1.1" 200 1888
INFO 2020-07-08 08:10:00,070 basehttp 124 "GET /static/xadmin/css/xadmin.plugins.css HTTP/1.1" 200 175
INFO 2020-07-08 08:10:00,071 basehttp 124 "GET /static/xadmin/css/xadmin.responsive.css HTTP/1.1" 200 4361
INFO 2020-07-08 08:10:00,071 basehttp 124 "GET /static/xadmin/css/xadmin.main.css HTTP/1.1" 200 8376
INFO 2020-07-08 08:10:00,072 basehttp 124 "GET /static/xadmin/vendor/font-awesome/css/font-awesome.css HTTP/1.1" 200 21658
INFO 2020-07-08 08:10:00,077 basehttp 124 "GET /static/xadmin/vendor/bootstrap/css/bootstrap.css HTTP/1.1" 200 126432
INFO 2020-07-08 08:10:00,079 basehttp 124 "GET /static/xadmin/vendor/jquery-ui/jquery.ui.widget.js HTTP/1.1" 200 15069
INFO 2020-07-08 08:10:00,079 basehttp 124 "GET /static/xadmin/vendor/jquery-ui/jquery.ui.core.js HTTP/1.1" 200 8195
INFO 2020-07-08 08:10:00,080 basehttp 124 "GET /static/xadmin/vendor/jquery-ui/jquery.ui.mouse.js HTTP/1.1" 200 4561
INFO 2020-07-08 08:10:00,084 basehttp 124 "GET /static/xadmin/vendor/jquery-ui/jquery.ui.sortable.js HTTP/1.1" 200 42543
INFO 2020-07-08 08:10:00,084 basehttp 124 "GET /static/xadmin/js/xadmin.responsive.js HTTP/1.1" 200 4165
INFO 2020-07-08 08:10:00,084 basehttp 124 "GET /static/xadmin/vendor/bootstrap/js/bootstrap.js HTTP/1.1" 200 58327
INFO 2020-07-08 08:10:00,087 basehttp 124 "GET /static/xadmin/js/xadmin.main.js HTTP/1.1" 200 3401
INFO 2020-07-08 08:10:00,092 basehttp 124 "GET /xadmin/jsi18n/ HTTP/1.1" 200 4174
INFO 2020-07-08 08:10:00,093 basehttp 124 "GET /static/xadmin/vendor/jquery/jquery.js HTTP/1.1" 200 240196
INFO 2020-07-08 08:10:00,178 basehttp 124 "GET /static/xadmin/vendor/font-awesome/fonts/fontawesome-webfont.woff?v=4.0.3 HTTP/1.1" 200 44432
INFO 2020-07-08 08:12:33,027 basehttp 124 "GET /xadmin/ HTTP/1.1" 200 4167
INFO 2020-07-08 08:12:33,053 basehttp 124 "GET /xadmin/jsi18n/ HTTP/1.1" 200 4174
INFO 2020-07-08 08:12:38,761 basehttp 124 "POST /xadmin/ HTTP/1.1" 302 0
INFO 2020-07-08 08:12:38,788 basehttp 124 "GET /xadmin/ HTTP/1.1" 200 9843
INFO 2020-07-08 08:12:38,863 basehttp 124 "GET /static/xadmin/css/xadmin.page.dashboard.css HTTP/1.1" 200 790
INFO 2020-07-08 08:12:38,865 basehttp 124 "GET /static/xadmin/js/xadmin.plugin.portal.js HTTP/1.1" 200 1000
INFO 2020-07-08 08:12:38,865 basehttp 124 "GET /static/xadmin/js/xadmin.page.dashboard.js HTTP/1.1" 200 3208
INFO 2020-07-08 08:12:38,872 basehttp 124 "GET /xadmin/jsi18n/ HTTP/1.1" 200 3185
INFO 2020-07-08 16:13:20,379 basehttp 124 "GET /xadmin/ HTTP/1.1" 200 9832
INFO 2020-07-08 16:13:20,405 basehttp 124 "GET /xadmin/jsi18n/ HTTP/1.1" 200 7684
INFO 2020-07-08 16:13:22,967 basehttp 124 "GET /xadmin/ HTTP/1.1" 200 9832
INFO 2020-07-08 16:13:22,998 basehttp 124 "GET /xadmin/jsi18n/ HTTP/1.1" 200 7684
INFO 2020-07-08 16:13:23,977 basehttp 124 "GET /xadmin/reversion/revision/ HTTP/1.1" 200 24497
INFO 2020-07-08 16:13:24,000 basehttp 124 "GET /static/xadmin/css/xadmin.form.css HTTP/1.1" 200 3763
INFO 2020-07-08 16:13:24,003 basehttp 124 "GET /static/xadmin/vendor/selectize/selectize.css HTTP/1.1" 200 8425
INFO 2020-07-08 16:13:24,004 basehttp 124 "GET /static/xadmin/vendor/select2/select2.css HTTP/1.1" 200 19226
INFO 2020-07-08 16:13:24,004 basehttp 124 "GET /static/xadmin/vendor/bootstrap-datepicker/css/datepicker.css HTTP/1.1" 200 10225
INFO 2020-07-08 16:13:24,005 basehttp 124 "GET /static/xadmin/vendor/selectize/selectize.bootstrap3.css HTTP/1.1" 200 10602
INFO 2020-07-08 16:13:24,009 basehttp 124 "GET /static/xadmin/js/xadmin.plugin.bookmark.js HTTP/1.1" 200 529
INFO 2020-07-08 16:13:24,011 basehttp 124 "GET /static/xadmin/vendor/select2/select2_locale_zh-hans.js HTTP/1.1" 200 694
INFO 2020-07-08 16:13:24,013 basehttp 124 "GET /static/xadmin/js/xadmin.widget.select.js HTTP/1.1" 200 1344
INFO 2020-07-08 16:13:24,014 basehttp 124 "GET /static/xadmin/js/xadmin.plugin.filters.js HTTP/1.1" 200 1990
INFO 2020-07-08 16:13:24,016 basehttp 124 "GET /static/xadmin/js/xadmin.page.list.js HTTP/1.1" 200 1105
INFO 2020-07-08 16:13:24,020 basehttp 124 "GET /static/xadmin/js/xadmin.plugin.details.js HTTP/1.1" 200 2319
INFO 2020-07-08 16:13:24,020 basehttp 124 "GET /xadmin/jsi18n/ HTTP/1.1" 200 7684
INFO 2020-07-08 16:13:24,022 basehttp 124 "GET /static/xadmin/vendor/bootstrap-datepicker/js/bootstrap-datepicker.js HTTP/1.1" 200 32656
INFO 2020-07-08 16:13:24,022 basehttp 124 "GET /static/xadmin/js/xadmin.page.form.js HTTP/1.1" 200 1948
INFO 2020-07-08 16:13:24,023 basehttp 124 "GET /static/xadmin/js/xadmin.widget.datetime.js HTTP/1.1" 200 2979
INFO 2020-07-08 16:13:24,024 basehttp 124 "GET /static/xadmin/vendor/select2/select2.js HTTP/1.1" 200 104906
INFO 2020-07-08 16:13:24,025 basehttp 124 "GET /static/xadmin/vendor/selectize/selectize.js HTTP/1.1" 200 98602
INFO 2020-07-08 16:13:25,814 basehttp 124 "GET /xadmin/auth/group/ HTTP/1.1" 200 19055
INFO 2020-07-08 16:13:25,838 basehttp 124 "GET /xadmin/jsi18n/ HTTP/1.1" 200 7684
INFO 2020-07-08 16:13:26,403 basehttp 124 "GET /xadmin/auth/user/ HTTP/1.1" 200 29394
INFO 2020-07-08 16:13:26,424 basehttp 124 "GET /static/xadmin/js/xadmin.plugin.actions.js HTTP/1.1" 200 4198
INFO 2020-07-08 16:13:26,430 basehttp 124 "GET /xadmin/jsi18n/ HTTP/1.1" 200 7684
INFO 2020-07-08 16:13:27,420 basehttp 124 "GET /xadmin/auth/permission/ HTTP/1.1" 200 84752
INFO 2020-07-08 16:13:27,445 basehttp 124 "GET /xadmin/jsi18n/ HTTP/1.1" 200 7684
INFO 2020-07-08 16:13:28,186 basehttp 124 "GET /xadmin/auth/user/ HTTP/1.1" 200 29394
INFO 2020-07-08 16:13:28,210 basehttp 124 "GET /xadmin/jsi18n/ HTTP/1.1" 200 7684
INFO 2020-07-08 16:13:29,792 basehttp 124 "GET /xadmin/auth/permission/ HTTP/1.1" 200 84752
INFO 2020-07-08 16:13:29,815 basehttp 124 "GET /xadmin/jsi18n/ HTTP/1.1" 200 7684
INFO 2020-07-08 16:13:33,286 basehttp 124 "GET /xadmin/auth/user/ HTTP/1.1" 200 29394
INFO 2020-07-08 16:13:33,310 basehttp 124 "GET /xadmin/jsi18n/ HTTP/1.1" 200 7684
INFO 2020-07-08 16:13:34,678 basehttp 124 "GET /xadmin/auth/user/1/update/ HTTP/1.1" 200 23463
INFO 2020-07-08 16:13:34,697 basehttp 124 "GET /static/xadmin/vendor/bootstrap-clockpicker/bootstrap-clockpicker.css HTTP/1.1" 200 3729
INFO 2020-07-08 16:13:34,698 basehttp 124 "GET /static/xadmin/css/xadmin.widget.select-transfer.css HTTP/1.1" 200 2317
INFO 2020-07-08 16:13:34,704 basehttp 124 "GET /static/xadmin/js/xadmin.widget.select-transfer.js HTTP/1.1" 200 8214
INFO 2020-07-08 16:13:34,705 basehttp 124 "GET /static/xadmin/vendor/bootstrap-clockpicker/bootstrap-clockpicker.js HTTP/1.1" 200 21112
INFO 2020-07-08 16:13:34,706 basehttp 124 "GET /static/xadmin/js/xadmin.plugin.quick-form.js HTTP/1.1" 200 7546
INFO 2020-07-08 16:13:34,711 basehttp 124 "GET /xadmin/jsi18n/ HTTP/1.1" 200 7684
INFO 2020-07-08 16:14:02,306 basehttp 124 "GET /xadmin/auth/user/ HTTP/1.1" 200 29394
INFO 2020-07-08 16:32:03,718 basehttp 124 "GET /xadmin/auth/user/ HTTP/1.1" 200 29394
INFO 2020-07-08 16:32:03,738 basehttp 124 "GET /xadmin/jsi18n/ HTTP/1.1" 200 7684
INFO 2020-07-08 16:32:16,935 basehttp 124 "GET /xadmin/auth/user/ HTTP/1.1" 200 32800
INFO 2020-07-08 16:32:16,954 basehttp 124 "GET /static/xadmin/js/xadmin.plugin.themes.js HTTP/1.1" 200 3489
INFO 2020-07-08 16:32:16,955 basehttp 124 "GET /static/xadmin/vendor/jquery-ui/jquery.ui.effect.js HTTP/1.1" 200 31918
INFO 2020-07-08 16:32:16,961 basehttp 124 "GET /xadmin/jsi18n/ HTTP/1.1" 200 7684
INFO 2020-07-08 16:32:52,307 basehttp 124 "GET /xadmin/auth/permission/ HTTP/1.1" 200 88158
INFO 2020-07-08 16:32:58,032 basehttp 124 "GET /xadmin/auth/permission/ HTTP/1.1" 200 88158
INFO 2020-07-08 16:32:58,058 basehttp 124 "GET /xadmin/jsi18n/ HTTP/1.1" 200 7684
INFO 2020-07-08 16:33:03,695 basehttp 124 "GET /xadmin/ HTTP/1.1" 200 13253
INFO 2020-07-08 16:33:03,720 basehttp 124 "GET /xadmin/jsi18n/ HTTP/1.1" 200 7684
INFO 2020-07-08 16:34:44,563 basehttp 124 "GET /xadmin/ HTTP/1.1" 200 14384
INFO 2020-07-08 16:34:44,586 basehttp 124 "GET /xadmin/jsi18n/ HTTP/1.1" 200 7684
INFO 2020-07-08 16:34:49,817 basehttp 124 "GET /xadmin/home/banner/ HTTP/1.1" 200 23923
INFO 2020-07-08 16:34:49,845 basehttp 124 "GET /xadmin/jsi18n/ HTTP/1.1" 200 7684
INFO 2020-07-08 16:34:57,649 basehttp 124 "GET /xadmin/home/banner/add/ HTTP/1.1" 200 19459
INFO 2020-07-08 16:34:57,666 basehttp 124 "GET /static/xadmin/vendor/bootstrap-image-gallery/css/bootstrap-image-gallery.css HTTP/1.1" 200 3339
INFO 2020-07-08 16:34:57,672 basehttp 124 "GET /static/xadmin/vendor/load-image/load-image.js HTTP/1.1" 200 8309
INFO 2020-07-08 16:34:57,672 basehttp 124 "GET /static/xadmin/vendor/bootstrap-image-gallery/js/bootstrap-image-gallery.js HTTP/1.1" 200 15611
INFO 2020-07-08 16:34:57,677 basehttp 124 "GET /xadmin/jsi18n/ HTTP/1.1" 200 7684
INFO 2020-07-08 16:35:27,910 basehttp 124 "POST /xadmin/home/banner/add/ HTTP/1.1" 302 0
INFO 2020-07-08 16:35:27,972 basehttp 124 "GET /xadmin/home/banner/add/ HTTP/1.1" 200 19805
INFO 2020-07-08 16:35:27,995 basehttp 124 "GET /xadmin/jsi18n/ HTTP/1.1" 200 7684
INFO 2020-07-08 16:36:02,143 basehttp 124 "POST /xadmin/home/banner/add/ HTTP/1.1" 302 0
INFO 2020-07-08 16:36:02,217 basehttp 124 "GET /xadmin/home/banner/add/ HTTP/1.1" 200 19811
INFO 2020-07-08 16:36:02,241 basehttp 124 "GET /xadmin/jsi18n/ HTTP/1.1" 200 7684
INFO 2020-07-08 16:36:19,929 basehttp 124 "POST /xadmin/home/banner/add/ HTTP/1.1" 302 0
INFO 2020-07-08 16:36:19,990 basehttp 124 "GET /xadmin/home/banner/ HTTP/1.1" 200 29140
INFO 2020-07-08 16:36:20,014 basehttp 124 "GET /xadmin/jsi18n/ HTTP/1.1" 200 7684
INFO 2020-07-08 16:36:40,787 basehttp 124 "GET /xadmin/home/banner/ HTTP/1.1" 200 27770
INFO 2020-07-08 16:36:40,812 basehttp 124 "GET /xadmin/jsi18n/ HTTP/1.1" 200 7684
INFO 2020-07-08 16:36:56,971 basehttp 124 "GET /xadmin/home/banner/ HTTP/1.1" 200 28845
INFO 2020-07-08 16:36:56,993 basehttp 124 "GET /xadmin/jsi18n/ HTTP/1.1" 200 7684
INFO 2020-07-08 16:37:05,839 basehttp 124 "GET /xadmin/home/banner/2/update/ HTTP/1.1" 200 19966
INFO 2020-07-08 16:37:05,867 basehttp 124 "GET /xadmin/jsi18n/ HTTP/1.1" 200 7684
INFO 2020-07-08 16:37:05,875 basehttp 124 "GET /media/banner/02.png HTTP/1.1" 200 364808
INFO 2020-07-08 16:37:08,156 basehttp 124 "GET /xadmin/home/banner/ HTTP/1.1" 200 28845
INFO 2020-07-08 16:37:08,180 basehttp 124 "GET /xadmin/jsi18n/ HTTP/1.1" 200 7684
INFO 2020-07-08 16:37:32,880 basehttp 124 "GET /xadmin/home/banner/?_do_=export&export_type=xls&export_xls_header=on&all=on HTTP/1.1" 200 5632
INFO 2020-07-08 16:43:50,524 basehttp 124 "GET /home/banner HTTP/1.1" 301 0
INFO 2020-07-08 16:43:50,563 basehttp 124 "GET /home/banner/ HTTP/1.1" 200 6124
INFO 2020-07-08 16:43:50,593 basehttp 124 "GET /static/rest_framework/css/bootstrap.min.css HTTP/1.1" 200 121457
INFO 2020-07-08 16:43:50,600 basehttp 124 "GET /static/rest_framework/css/bootstrap-tweaks.css HTTP/1.1" 200 3385
INFO 2020-07-08 16:43:50,601 basehttp 124 "GET /static/rest_framework/js/ajax-form.js HTTP/1.1" 200 3597
INFO 2020-07-08 16:43:50,601 basehttp 124 "GET /static/rest_framework/css/default.css HTTP/1.1" 200 1131
INFO 2020-07-08 16:43:50,601 basehttp 124 "GET /static/rest_framework/js/csrf.js HTTP/1.1" 200 1719
INFO 2020-07-08 16:43:50,601 basehttp 124 "GET /static/rest_framework/css/prettify.css HTTP/1.1" 200 817
INFO 2020-07-08 16:43:50,603 basehttp 124 "GET /static/rest_framework/js/jquery-3.4.1.min.js HTTP/1.1" 200 88145
INFO 2020-07-08 16:43:50,607 basehttp 124 "GET /static/rest_framework/js/prettify-min.js HTTP/1.1" 200 13632
INFO 2020-07-08 16:43:50,607 basehttp 124 "GET /static/rest_framework/js/default.js HTTP/1.1" 200 1268
INFO 2020-07-08 16:43:50,607 basehttp 124 "GET /static/rest_framework/js/bootstrap.min.js HTTP/1.1" 200 37608
INFO 2020-07-08 16:43:50,619 basehttp 124 "GET /static/rest_framework/img/grid.png HTTP/1.1" 200 1458
INFO 2020-07-08 16:43:57,770 basehttp 124 "GET /media/banner/03.png HTTP/1.1" 200 745382
INFO 2020-07-08 16:44:26,485 basehttp 124 "GET /home/banner/ HTTP/1.1" 200 6124
ERROR 2020-07-08 16:50:03,002 exception 74 Invalid HTTP_HOST header: '127.0.0.1:9001'. You may need to add '127.0.0.1' to ALLOWED_HOSTS.
WARNING 2020-07-08 16:50:03,062 basehttp 124 "GET /home/banner/ HTTP/1.1" 400 62621
ERROR 2020-07-08 16:50:33,513 exception 74 Invalid HTTP_HOST header: '127.0.0.1:9001'. You may need to add '127.0.0.1' to ALLOWED_HOSTS.
WARNING 2020-07-08 16:50:33,539 basehttp 124 "GET /home/banner/ HTTP/1.1" 400 62882
INFO 2020-07-08 16:52:26,085 basehttp 124 "GET /home/banner/ HTTP/1.1" 200 261
INFO 2020-07-08 16:52:30,554 basehttp 124 "GET /home/banner/ HTTP/1.1" 200 261
INFO 2020-07-08 16:53:00,672 basehttp 124 "GET /home/banner/ HTTP/1.1" 200 261
INFO 2020-07-08 16:54:09,169 basehttp 124 "GET /media/banner/02.png HTTP/1.1" 200 364808
INFO 2020-07-08 16:54:09,173 basehttp 124 "GET /media/banner/01.png HTTP/1.1" 200 737783
INFO 2020-07-08 16:54:09,173 basehttp 124 "GET /media/banner/03.png HTTP/1.1" 200 745382
INFO 2020-07-08 16:54:18,961 basehttp 124 "GET /home/banner/ HTTP/1.1" 200 261
INFO 2020-07-08 16:54:19,064 basehttp 124 "GET /media/banner/03.png HTTP/1.1" 200 745382
INFO 2020-07-08 16:54:19,067 basehttp 124 "GET /media/banner/02.png HTTP/1.1" 200 364808
INFO 2020-07-08 16:54:19,069 basehttp 124 "GET /media/banner/01.png HTTP/1.1" 200 737783
INFO 2020-07-08 16:54:58,564 basehttp 124 "GET /home/banner/ HTTP/1.1" 200 261
INFO 2020-07-08 16:55:00,761 basehttp 124 "GET /home/banner/ HTTP/1.1" 200 261
INFO 2020-07-08 16:55:01,845 basehttp 124 "GET /home/banner/ HTTP/1.1" 200 261
INFO 2020-07-08 16:55:02,517 basehttp 124 "GET /home/banner/ HTTP/1.1" 200 261
INFO 2020-07-08 16:55:03,101 basehttp 124 "GET /home/banner/ HTTP/1.1" 200 261
INFO 2020-07-08 16:55:04,652 basehttp 124 "GET /home/banner/ HTTP/1.1" 200 261
INFO 2020-07-08 16:55:05,405 basehttp 124 "GET /home/banner/ HTTP/1.1" 200 261
